=== TOPSIS RESULTS PER DECISION-MAKER ===

--- Marketing Division (DM1) ---

Alternative,Closeness Coefficient,Rank
Economy Tier,0.4347,2
Competitive Tier,0.7561,1
Premium Tier,0.2658,3
Ultra Premium,0.2658,3

--- Finance Division (DM2) ---

Alternative,Closeness Coefficient,Rank
Economy Tier,0.2983,4
Competitive Tier,0.5756,3
Premium Tier,0.5837,1
Ultra Premium,0.5837,1

--- C-Level Executive (DM3) ---

Alternative,Closeness Coefficient,Rank
Economy Tier,0.3924,4
Competitive Tier,0.6711,1
Premium Tier,0.4353,2
Ultra Premium,0.4353,2

--- Investor (DM4) ---

Alternative,Closeness Coefficient,Rank
Economy Tier,0.3708,4
Competitive Tier,0.6365,1
Premium Tier,0.4951,2
Ultra Premium,0.4951,2

=== BORDA COUNT GROUP AGGREGATION ===

Alternative,Marketing Division (points),Finance Division (points),C-Level Executive (points),Investor (points),Total Borda,Final Rank,Tie Indicator
Economy Tier,2,0,0,0,2,4,No
Competitive Tier,3,1,3,3,10,1,No
Premium Tier,1,3,2,2,8,2,Yes
Ultra Premium,1,3,2,2,8,3,Yes
